Start;End;AccountCode;SecurityId; Time ms
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1003362; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1007369; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1003292; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1008544; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1002483; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1001924; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1001425; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1003015; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1000941; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1001021; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1009221; 1
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1003587; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1118;1007682; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1000600; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1002163; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1002185; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1002037; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1001032; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1007182; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1002243; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1007173; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1001289; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1002521; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1007556; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1001277; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1001681; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1005940; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1003365; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1005267; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1003364; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1003362; 0
